		AND		BOOL	CHAR	CHR		COM		COMMENT	DEQUAL	DIV		ELSE	EQUAL	EXIT	FALSE	FLOAT	FLT		FOR		GTHEN	IDVAR	IF		INT		INTEGER	LBB		LCB		LPAREN	LTHEN	MAIN	MINUS	MOD		MUL		NOT		OR		PLUS	PRINT	RBB		RCB		RETURN	RPAREN	SCOLON	STR		STRING	TRUE	VOID	WHILE	WITH	$end	andor	arrt	assign	bexp	bexp2	bval	dtype	dws		elsests	empty	exp		fact	factarr	fline	ifsts	line	nline	numexp	pline	rln		strvar	term	var		
44		r28		-		-		-		r28		-		r28		r28		-		-		-		-		-		-		-		r28		-		-		-		-		-		-		-		r28		-		r28		r28		r28		r28		r28		r28		-		-		r28		-		r28		r28		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		
45		r29		-		-		-		r29		-		r29		r29		-		-		-		-		-		-		-		r29		-		-		-		-		-		-		-		r29		-		r29		r29		r29		r29		r29		r29		-		-		r29		-		r29		r29		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		
46		r31		-		-		-		r31		-		r31		r31		-		-		-		-		-		-		-		r31		-		-		-		-		-		-		-		r31		-		r31		r31		r31		r31		r31		r31		-		-		r31		-		r31		r31		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		
47		r32		-		-		-		r32		-		r32		r32		-		-		-		-		-		-		-		r32		-		-		-		-		-		-		-		r32		-		r32		r32		r32		r32		r32		r32		-		-		r32		-		r32		r32		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		
48		r33		-		-		-		r33		-		r33		r33		-		-		-		-		-		-		-		r33		-		-		-		-		-		-		-		r33		-		r33		r33		r33		r33		r33		r33		-		-		r33		-		r33		r33		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		
49		r34		-		-		-		r34		-		r34		r34		-		-		-		-		-		-		-		r34		-		-		-		-		-		-		-		r34		-		r34		r34		r34		r34		r34		r34		-		-		r34		-		r34		r34		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		
50		-		r4		-		r4		-		-		-		-		-		-		r4		-		-		r4		r4		-		r4		r4		r4		-		-		-		-		-		-		-		-		-		-		-		-		r4		-		r4		r4		-		-		r4		-		-		-		r4		-		r4		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		
51		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		s7		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		s74		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		73		-		75		
52		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		s76		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		
53		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		s77		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		
54		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		s78		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		
55		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		s79		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		
56		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		s80		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		
57		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		s81		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		
